Date,site_no,Mean Flow,Coeff Var,Tqmean,R-B Index,Station
1969-10-01,3335000.0,1305.6969696969697,134.17002807854362,0.2727272727272727,0.3302543631637579,Wildcat
1969-11-03,3335000.0,1693.75,90.07963765682771,0.2857142857142857,0.2189562467053242,Wildcat
1969-12-01,3335000.0,552.1935483870968,32.11664983442299,0.4838709677419355,0.07465825446898001,Wildcat
1970-01-01,3335000.0,453.1875,112.09858867186719,0.15625,0.2470004137360364,Wildcat
1970-02-02,3335000.0,557.3928571428571,41.354909851111366,0.35714285714285715,0.10610623438200807,Wildcat
1970-03-02,3335000.0,905.0333333333333,71.43155726883334,0.36666666666666664,0.24161172700821332,Wildcat
1970-04-01,3335000.0,2097.633333333333,88.90652218825299,0.4,0.31751656628899233,Wildcat
1970-05-01,3335000.0,1481.1290322580646,66.32438982484793,0.3225806451612903,0.26113470543395406,Wildcat
1970-06-01,3335000.0,353.3,32.28252943093299,0.43333333333333335,0.0525521275592037,Wildcat
1970-07-01,3335000.0,596.8484848484849,125.25332572213392,0.24242424242424243,0.4085093419983753,Wildcat
1970-08-03,3335000.0,390.41379310344826,70.39248163002463,0.3103448275862069,0.27194841900724254,Wildcat
1970-09-01,3335000.0,243.56666666666666,71.55019101025252,0.23333333333333334,0.1665526207745997,Wildcat
1970-10-01,3335000.0,451.90625,46.36692329590334,0.375,0.16582532328331373,Wildcat
1970-11-02,3335000.0,606.8620689655172,38.20246353256697,0.3103448275862069,0.17000965963975226,Wildcat
1970-12-01,3335000.0,439.5483870967742,16.776106852304345,0.41935483870967744,0.06649053280493175,Wildcat
1971-01-01,3335000.0,298.7096774193548,46.1978302522712,0.41935483870967744,0.11771058315334773,Wildcat
1971-02-01,3335000.0,1812.142857142857,96.47234883536653,0.4642857142857143,0.34942845880961765,Wildcat
1971-03-01,3335000.0,1169.0645161290322,56.984785674963426,0.3870967741935484,0.19762147843602548,Wildcat
1971-04-01,3335000.0,305.78125,24.570514905216744,0.28125,0.04322943280531426,Wildcat
1971-05-03,3335000.0,780.3103448275862,107.94214990494082,0.2413793103448276,0.3962172433602899,Wildcat
1971-06-01,3335000.0,721.4333333333333,123.99406859008235,0.2,0.5470128910040197,Wildcat
1971-07-01,3335000.0,260.78125,59.655708246195225,0.21875,0.2183343319352906,Wildcat
1971-08-02,3335000.0,177.0,53.130344738233234,0.2,0.21732580037664784,Wildcat
1971-09-01,3335000.0,339.56666666666666,114.91498957519059,0.23333333333333334,0.5069205850593894,Wildcat
1971-10-01,3335000.0,185.61290322580646,27.93113434109275,0.3548387096774194,0.08359402155022592,Wildcat
1971-11-01,3335000.0,137.76666666666668,9.762134265501082,0.43333333333333335,0.04500362932494556,Wildcat
1971-12-01,3335000.0,1464.5151515151515,89.65357712429845,0.3939393939393939,0.28239773221047404,Wildcat
1972-01-03,3335000.0,673.5172413793103,26.423021272190734,0.4482758620689655,0.10342002867089904,Wildcat
1972-02-01,3335000.0,298.2758620689655,19.208489707889274,0.3793103448275862,0.07560693641618497,Wildcat
1972-03-01,3335000.0,395.90909090909093,38.131409590216,0.36363636363636365,0.13938002296211252,Wildcat
1972-04-03,3335000.0,3002.714285714286,85.7488292206161,0.32142857142857145,0.2922355963651934,Wildcat
1972-05-01,3335000.0,644.2903225806451,35.90655932173095,0.5161290322580645,0.10609322585490412,Wildcat
1972-06-01,3335000.0,593.3125,87.1402250146868,0.28125,0.3033814389550195,Wildcat
1972-07-03,3335000.0,441.48275862068965,55.331174797875924,0.3793103448275862,0.2756385222213544,Wildcat
1972-08-01,3335000.0,159.83870967741936,21.046434636724207,0.4838709677419355,0.11644803229061554,Wildcat
1972-09-01,3335000.0,838.6451612903226,153.3743883395983,0.1935483870967742,0.2863681821678591,Wildcat
1972-10-02,3335000.0,1001.4333333333333,51.15358337826854,0.36666666666666664,0.20703658090070898,Wildcat
1972-11-01,3335000.0,2244.733333333333,63.27291100287859,0.3333333333333333,0.24270143446883075,Wildcat
1972-12-01,3335000.0,1646.8064516129032,73.8446534831944,0.25806451612903225,0.29874047521106345,Wildcat
1973-01-01,3335000.0,1380.6129032258063,70.77291902923952,0.3225806451612903,0.2146779130353513,Wildcat
1973-02-01,3335000.0,1014.7142857142857,76.39521017902231,0.32142857142857145,0.1808390820779952,Wildcat
1973-03-01,3335000.0,2732.84375,54.67412359030642,0.46875,0.2114098180695475,Wildcat
1973-04-02,3335000.0,1365.5172413793102,52.45978892873158,0.3793103448275862,0.18093434343434345,Wildcat
1973-05-01,3335000.0,503.48387096774195,22.334487751077184,0.45161290322580644,0.08136852895950794,Wildcat
1973-06-01,3335000.0,1104.6451612903227,75.30448989054105,0.2903225806451613,0.32770704356967645,Wildcat
1973-07-02,3335000.0,347.8666666666667,61.956616853476746,0.3,0.22690686086623227,Wildcat
1973-08-01,3335000.0,748.8787878787879,143.67214660428277,0.21212121212121213,0.33055476874519485,Wildcat
1973-09-03,3335000.0,163.71428571428572,12.548803428523636,0.42857142857142855,0.05824607329842932,Wildcat
1973-10-01,3335000.0,217.03225806451613,34.75239424781857,0.3225806451612903,0.12024375743162902,Wildcat
